dialogueID,date,from,to,text
130026.tsv,2012-05-19T15:20:00.000Z,ActionParsnip,mr^swift,"i believe it's ALT+Shift+right click -> delete"
130638.tsv,2008-03-12T14:45:00.000Z,ActionParsnip,huiii,"check /etc/fstab ;)"
36271.tsv,2012-11-29T14:46:00.000Z,ActionParsnip,xqo,"you should have /var/log/Xorg.0.log"
36271.tsv,2012-11-29T14:47:00.000Z,ActionParsnip,xqo,"what is the output of:  cat /etc/issue"
3411.tsv,2012-05-20T13:25:00.000Z,ActionParsnip,thegame8890,"http://askubuntu.com/questions/135540/what-is-the-whoopsie-process-and-what-does-it-do"
128991.tsv,2009-09-08T14:52:00.000Z,ActionParsnip,kikokos,"depends entirely on the chi pinside"
37879.tsv,2010-08-27T05:43:00.000Z,ActionParsnip,FredFlintstone,"the adobe one"
70271.tsv,2009-05-09T20:10:00.000Z,ActionParsnip,carick,"that will need gksudo"
70271.tsv,2009-05-09T20:10:00.000Z,ActionParsnip,carick,"true"
129555.tsv,2009-10-12T00:37:00.000Z,ActionParsnip,sfire,"nautilus"
30100.tsv,2010-10-03T04:29:00.000Z,ActionParsnip,houdini1,"it's home is /var/www:"
30100.tsv,2010-10-03T04:31:00.000Z,ActionParsnip,houdini1,"not sure, i've never logged in as the user"
128993.tsv,2008-09-02T03:25:00.000Z,ActionParsnip,robocops,"add them to ~/.bashrc"
131160.tsv,2009-11-10T19:42:00.000Z,ActionParsnip,Maxmim_2,"export DIR1=/path/to/folder; cp file $DIR1"
131160.tsv,2009-11-10T19:43:00.000Z,ActionParsnip,Maxmim_2,"export PATH=/path/to/folder:'${PATH}'"
130962.tsv,2010-05-05T23:25:00.000Z,ActionParsnip,Dracari,"sure, you will get the latest install then"
130962.tsv,2010-05-05T23:26:00.000Z,ActionParsnip,Dracari,"what nvidia bug?"
58968.tsv,2011-09-26T22:01:00.000Z,ActionParsnip,heoa_,"should be in /media"
130843.tsv,2010-03-03T02:36:00.000Z,ActionParsnip,link_36p,"get the latest HPLIP and install it"
130633.tsv,2012-11-19T16:29:00.000Z,ActionParsnip,jonas-k,"what are you trying to connect to?and using what?"
130633.tsv,2012-11-19T16:29:00.000Z,ActionParsnip,jonas-k,"without that detail, yourtext is meaningless"
131014.tsv,2011-05-28T02:15:00.000Z,ActionParsnip,nephew,"you waited all of 0 seconds, have some patience"
7596.tsv,2012-01-15T14:38:00.000Z,ActionParsnip,vanangamud,"ok so you know its user settings and not the app itself"
129397.tsv,2009-06-27T02:35:00.000Z,ActionParsnip,Raptorial,"you can use pae to get more ram accessed in 32bit linux"
129397.tsv,2009-06-27T02:36:00.000Z,ActionParsnip,Raptorial,"sure"
129348.tsv,2008-10-12T05:10:00.000Z,ActionParsnip,dasickis,"is it a touchscreen?"
129348.tsv,2008-10-12T05:11:00.000Z,ActionParsnip,dasickis,"http://ubuntuforums.org/showthread.php?t=463300"
