dialogueID,date,from,to,text
38870.tsv,2010-05-09T16:39:00.000Z,Dr_Willis,ubuntusuperbegin," the commands in 'linux' are normally the same across disrtos."
38870.tsv,2010-05-09T16:39:00.000Z,Dr_Willis,ubuntusuperbegin," kubuntu = KDE.   ubuntu = gnome.."
342293.tsv,2010-01-15T17:36:00.000Z,Dr_Willis,ma3x," theres a tool called 'epidermis' (not in the repos) that can install/set other themes fro that stuff.."
342293.tsv,2010-01-15T17:36:00.000Z,Dr_Willis,ma3x," there may be some other ways as well to change it.. but i dont worry too muich about the silly splash stuff"
342261.tsv,2006-01-12T12:58:00.000Z,Dr_Willis,kouwe," you mean convert? or delete and remake.."
342261.tsv,2006-08-16T09:00:00.000Z,Dr_Willis,kouwe,"sudo apt-get upgrade, sudo apt-get update"
159869.tsv,2010-03-14T15:47:00.000Z,Dr_Willis,nan,"2.6.32-16 adante"
159869.tsv,2010-03-14T15:48:00.000Z,Dr_Willis,adante," no idea - i rarely mess with the kerne"
342298.tsv,2009-07-11T10:31:00.000Z,Dr_Willis,durando," i dont even bother to use lvm. :) for a home machine. i dont need it."
341771.tsv,2010-10-10T17:27:00.000Z,Dr_Willis,mattcodes," ive moved installs from one brand laptopp. to a radically newer/mondern laptop.. with no issues.. the video card and the wireless card drivers would proberly be the biggesdt stumbling points"
341771.tsv,2010-10-10T17:28:00.000Z,Dr_Willis,mattcodes," one potential issue could be if the old pc used an older version of the nvidia drivers. that dident work with anewer nvidia card.."
342201.tsv,2012-06-17T07:35:00.000Z,Dr_Willis,PatrickStar," updated eveyrthing. Unity, and gnome-3"
342201.tsv,2012-06-17T07:36:00.000Z,Dr_Willis,PatrickStar," there are release docs and blog sites with details  and reviews.."
35682.tsv,2010-07-05T15:08:00.000Z,Dr_Willis,nan,"windows chanloads grub somehow to boot wubi. (i hate wubi. so dont use it) :) so imay be wrong"
69544.tsv,2009-05-18T02:36:00.000Z,Dr_Willis,wind0pain," i say the same thing about WIndows. :)"
69544.tsv,2009-05-18T05:01:00.000Z,Dr_Willis,wind0pain," how did you install it? if you used the package manager. you can seewhat files the package installed"
343140.tsv,2006-05-28T08:08:00.000Z,Dr_Willis,newbuntu," how are you 'remotely' connecting?"
343140.tsv,2006-05-28T08:10:00.000Z,Dr_Willis,newbuntu," then thats just a vnc variant. and no it cant do it that way"
342373.tsv,2007-11-04T00:46:00.000Z,Dr_Willis,evilamoeba,"i would guess thats a pidgin setting option.  Not that ive used pidgen much."
342756.tsv,2010-08-05T05:02:00.000Z,Dr_Willis,cousteau`live,"smuxi is almost that.. I perfer weechat however."
342161.tsv,2005-10-17T07:06:00.000Z,Dr_Willis,zucchi3," google.com :P"
342980.tsv,2010-08-10T20:30:00.000Z,Dr_Willis,marko," nvidia packages come with different versions for different chipsets."
342980.tsv,2010-08-10T20:30:00.000Z,Dr_Willis,marko," the jockey-gtk tool can suggest what version you should use."
343293.tsv,2009-05-24T06:13:00.000Z,Dr_Willis,thandrr," i just used the normal system -> admin ->hardware drivers tool. like on 32bit"
72066.tsv,2009-04-25T23:07:00.000Z,Dr_Willis,mambokurt," ive nevver seen/found the tool that does that under ubuntu.. other then the installer."
310858.tsv,2005-04-18T12:28:00.000Z,Dr_Willis,nan,"Its a higher version # - so its better!"
310858.tsv,2005-04-18T12:28:00.000Z,Dr_Willis,nan,":P"
252572.tsv,2006-01-26T11:52:00.000Z,Dr_Willis,nan,"if you are getting a new lcd. and video cards.. you want dvi :P"
252572.tsv,2006-01-26T11:52:00.000Z,Dr_Willis,nan,"of course theres that NEW interface comming out I think in a year or so."
228445.tsv,2006-08-13T10:50:00.000Z,Dr_Willis,Geoffrey2," all the linux 'virus scanner' programs are for scanning windows data files to protect windows systems. :P"
342157.tsv,2009-11-13T23:30:00.000Z,Dr_Willis,Jared_Guest,"  sudo service cups start"
342246.tsv,2006-03-18T10:29:00.000Z,Dr_Willis,khxxm," its possible."
342246.tsv,2006-03-18T10:29:00.000Z,Dr_Willis,khxxm," what video card?"
342069.tsv,2006-04-01T09:26:00.000Z,Dr_Willis,nismo," why would you need to?"
342069.tsv,2006-04-01T09:27:00.000Z,Dr_Willis,nismo," the 'advance bash scripting  guide' has a example script that does that i recall."
65946.tsv,2009-06-20T00:11:00.000Z,Dr_Willis,packet-sent," theres secure.. then theres paranoid. :)"
65946.tsv,2009-06-20T00:19:00.000Z,Dr_Willis,packet-sent," unless the performance loss is too much"
