dialogueID,date,from,to,text
186847.tsv,2008-04-14T17:50:00.000Z,Pici,biabia,"you'd need to set that in your BIOS."
186119.tsv,2010-02-01T21:43:00.000Z,Pici,UbuntuUser,": Please join #ubuntu+1 for Lucid/10.4 support/discussion."
136515.tsv,2008-12-23T02:40:00.000Z,Pici,nan,"!fishing | ortsvorsteher"
136515.tsv,2011-08-03T15:59:00.000Z,Pici,ortsvorsteher,"This should be helpful too: http://mywiki.wooledge.org/BashFAQ/037"
16919.tsv,2011-05-19T20:34:00.000Z,Pici,wasikevin,"Hes not normally active that much in this channel, you may want to pm him if you need to speak to him."
125286.tsv,2009-04-16T23:41:00.000Z,Pici,GunbladeIV,"#ubuntu-motu"
187666.tsv,2011-03-03T19:57:00.000Z,Pici,troulouliou,"Also, natty/11.04 support/discussion is only in #ubuntu+1"
187618.tsv,2007-10-03T09:43:00.000Z,Pici,kurisutofuaa,"#ubuntu+1 for Gutsy questions please."
186931.tsv,2011-11-30T05:48:00.000Z,Pici,niftylettuce,"you need to mount devices (things in /dev/) not mountpoints"
186365.tsv,2008-02-21T05:24:00.000Z,Pici,azazel,"Thats not how you identify."
186126.tsv,2009-01-14T19:02:00.000Z,Pici,ahab,"The makefile may have an uninstall or remove target. i.e: sudo make uninstall, if it doesnt, then you are back to doing it manually."
186923.tsv,2007-09-25T13:16:00.000Z,Pici,Gosha_,"use echo 'bleh' >> filename"
187545.tsv,2010-06-09T23:03:00.000Z,Pici,charithm,"We do not support backtrack here, please use their support channel: #backtrack-linux"
25339.tsv,2011-03-31T00:16:00.000Z,Pici,WeThePeople,"I'm busy at the moment, pelase ask the channel."
25339.tsv,2012-08-08T18:11:00.000Z,Pici,WeThePeople,"Please use #vbox for virtualbox support"
187557.tsv,2011-06-01T20:14:00.000Z,Pici,joshuau,"There is no need for that. Please mind your language and attitude here."
187557.tsv,2011-06-01T20:28:00.000Z,Pici,joshuau,"That channel is for developers."
187416.tsv,2011-03-07T21:51:00.000Z,Pici,deca,"Ubuntu version number indicate the YEAR.MONTH of release."
37826.tsv,2010-05-25T21:13:00.000Z,Pici,Sasquatch7,"htop"
186806.tsv,2008-09-18T18:56:00.000Z,Pici,voland,"Try #ubuntu-translators or #ubuntu-bugs"
26498.tsv,2010-12-14T06:55:00.000Z,Pici,nan,"!away > ThatBum"
26498.tsv,2010-12-14T06:58:00.000Z,Pici,ThatBum,"thanks :)"
38571.tsv,2011-04-14T19:21:00.000Z,Pici,spacebug-,"Yes, feel free to await it in #ubuntu+1"
186465.tsv,2007-09-20T10:06:00.000Z,Pici,helio1111,"Sounds like the Live CD isnt compatible with your video card.  I suggest using the Alternate CD if you want to install."
