dialogueID,date,from,to,text
16024.tsv,2012-03-17T22:19:00.000Z,bazhang,Dynamit,"connection to ubuntu support?"
147828.tsv,2012-09-04T04:40:00.000Z,bazhang,jamar,"no need to repaste that 6 times"
147274.tsv,2010-03-13T06:05:00.000Z,bazhang,cleonir,"english here only"
146564.tsv,2008-08-07T09:22:00.000Z,bazhang,salmon,"no more beryl is now compiz-fusion"
146564.tsv,2008-08-07T22:28:00.000Z,bazhang,salmon,"may wish to ask the experts in compiz channel for that"
146625.tsv,2009-10-18T12:47:00.000Z,bazhang,lis,"what version of Ubuntu and what is rmiregistry"
147261.tsv,2011-06-23T10:34:00.000Z,bazhang,newbie|4,"upgrade version of ubuntu will do that"
147261.tsv,2011-06-23T10:34:00.000Z,bazhang,newbie|4,"why do you need the higher version"
146010.tsv,2008-04-07T08:48:00.000Z,bazhang,owh,"really depends; I have dvd's burned in linux that other linux boxes choke on same OS burned and all"
148076.tsv,2010-03-19T17:28:00.000Z,bazhang,tuga3d,"/j #ubuntu+1 for lucid please"
145136.tsv,2008-04-07T07:08:00.000Z,bazhang,cyclonut,"what version of ubuntu"
147184.tsv,2012-04-28T09:25:00.000Z,bazhang,radio,"english here please"
147184.tsv,2012-04-28T09:27:00.000Z,bazhang,radio,"ubuntu support question?"
50671.tsv,2010-02-28T08:36:00.000Z,bazhang,nonameNN,"this is a support channel ; chat in #ubuntu-offtopic"
147489.tsv,2008-03-04T05:38:00.000Z,bazhang,kotsu,"go to www.medibuntu.org and install libdvdcss2 from there"
146085.tsv,2010-08-20T16:30:00.000Z,bazhang,kalib,"you could put it in conky"
146974.tsv,2012-03-22T18:59:00.000Z,bazhang,Glacee,"#ubuntu+1 for precise not here"
146974.tsv,2012-04-05T19:15:00.000Z,bazhang,Glacee,"what about a PPA"
148125.tsv,2008-09-17T10:04:00.000Z,bazhang,Macrosoft,"/msg ubottu for fun if you wish (ie not here)"
145871.tsv,2012-07-08T14:58:00.000Z,bazhang,Anders-,"try #dovecot"
145938.tsv,2011-09-12T03:35:00.000Z,bazhang,ProphetZarquon,"ubuntu guest? ubuntu host?"
145938.tsv,2011-09-12T03:37:00.000Z,bazhang,ProphetZarquon,"vbox?"
957.tsv,2012-10-24T06:11:00.000Z,bazhang,klaxtr,"lets take chit chat elsewhere please"
957.tsv,2012-10-24T06:12:00.000Z,bazhang,klaxtr,"ask in #ubuntuone"
8271.tsv,2012-02-01T21:53:00.000Z,bazhang,infeeeee,"permanently? or just the once"
147409.tsv,2010-04-09T08:49:00.000Z,bazhang,john__,"#ubuntu-offtopic"
146470.tsv,2011-04-20T14:32:00.000Z,bazhang,dalin_,"#ubuntu-cn  english here"
