dialogueID,date,from,to,text
224213.tsv,2007-09-07T14:29:00.000Z,jrib,slash,"/join #ubuntu-es"
224800.tsv,2010-09-27T04:02:00.000Z,jrib,thanis1200,"javascript"
95090.tsv,2008-10-18T16:12:00.000Z,jrib,goodi__,"gedit --new-window   (see 'man gedit')"
224960.tsv,2007-02-11T06:02:00.000Z,jrib,R3bOrN,"try the alternate cd"
38270.tsv,2010-05-18T04:59:00.000Z,jrib,shohyuken,"try ##c++, no?"
225387.tsv,2012-09-21T04:14:00.000Z,jrib,miraj,"yes, you have a few additions like that in your .bashrc.  Which part of your PATH exactly are you not sure where it comes from?"
225387.tsv,2012-09-21T04:15:00.000Z,jrib,miraj,"thanks, sorry about that"
226268.tsv,2008-11-08T18:08:00.000Z,jrib,userbn,"do you have an ubuntu support question?"
137227.tsv,2008-02-18T06:24:00.000Z,jrib,Falican,"you should set that up in ~/.ssh/config.  See 'man ssh' discussion on -i switch (feel free to ask more)"
225538.tsv,2008-02-19T19:00:00.000Z,jrib,frold,"ping site"
225453.tsv,2007-09-08T06:55:00.000Z,jrib,Reid,"do you have an ubuntu support question?"
224396.tsv,2007-06-07T14:42:00.000Z,jrib,UltraNav,"can you file a bug please?"
224396.tsv,2007-06-07T14:43:00.000Z,jrib,UltraNav,"oh, and did you resolve your issue?"
180261.tsv,2007-08-20T09:40:00.000Z,jrib,Kilroo,"if doing something like 'cd foo; python bar' doesn't work in the launcher, write a two line shell script that does it and make the launcher execute the bash script"
224803.tsv,2009-06-18T06:21:00.000Z,jrib,Yeyui,"fwiw, mine works ootb"
224135.tsv,2008-09-01T03:27:00.000Z,jrib,svish,"your user can't write to where apt stores its cache most likely"
224135.tsv,2008-09-01T03:54:00.000Z,jrib,svish,"not really"
224534.tsv,2011-10-23T19:05:00.000Z,jrib,snark,"debian does do that.."
224296.tsv,2009-03-19T01:22:00.000Z,jrib,keres_,"#ubuntu-ops please"
225170.tsv,2006-07-07T06:38:00.000Z,jrib,tvgm2__,"I think the install grub after windows page has a link to it, or at least it did at one point"
226385.tsv,2008-11-16T05:23:00.000Z,jrib,vaffanbruco,"what are you doing?"
226385.tsv,2008-11-16T05:25:00.000Z,jrib,vaffanbruco,"stop."
174905.tsv,2007-03-30T16:52:00.000Z,jrib,nan,"!ntfs > linuxnooblah    (linuxnooblah, see the private message from ubotu)"
174905.tsv,2007-03-30T16:52:00.000Z,jrib,nan,"!ipv6 > leon_pegg    (leon_pegg, see the private message from ubotu)"
215811.tsv,2007-12-03T05:59:00.000Z,jrib,digitori,"right click on the ubuntu icor, edit menu"
224192.tsv,2008-12-17T21:30:00.000Z,jrib,Quagmire,"that was easy"
224192.tsv,2008-12-17T21:33:00.000Z,jrib,Quagmire,"ask the actual question."
225832.tsv,2008-05-09T17:27:00.000Z,jrib,Wii,"ubuntu support"
225832.tsv,2008-05-09T17:28:00.000Z,jrib,Wii,"no"
178468.tsv,2007-03-15T08:17:00.000Z,jrib,flafla,"beryl is unstable"
225127.tsv,2007-03-10T17:58:00.000Z,jrib,soleblaze,"sudo aptitude purge PACKAGE"
226426.tsv,2007-05-12T14:55:00.000Z,jrib,HoocH_LAP,"what file?"
226426.tsv,2007-05-12T14:56:00.000Z,jrib,HoocH_LAP,"you run your editor with 'sudo' so taht you have super user privileges:  gksudo gedit /etc/X11/xorg.conf"
110361.tsv,2008-05-31T16:04:00.000Z,jrib,liassist,"I'm an op in this channel"
110361.tsv,2008-05-31T16:05:00.000Z,jrib,liassist,"you're invited :)"
80823.tsv,2009-02-22T18:33:00.000Z,jrib,art4k_,"GF?"
210736.tsv,2007-05-06T16:09:00.000Z,jrib,choongii,"right click > properties > open with"
54117.tsv,2010-05-03T18:45:00.000Z,jrib,Timrit,"what you said makes no sense.  Pastebin your command and the output"
226030.tsv,2007-07-19T12:37:00.000Z,jrib,chamba,"#ubuntu-effects can help you with that"
224706.tsv,2007-09-27T07:41:00.000Z,jrib,dmang,"do not do that here"
225060.tsv,2007-02-04T12:51:00.000Z,jrib,jstarcher,"they're callecd 'workspaces', look for options about that"
224262.tsv,2007-01-09T17:37:00.000Z,jrib,Tenris,"if you don't want to upgrade for a long time, dapper, otherwise edgy"
224262.tsv,2007-01-09T17:38:00.000Z,jrib,Tenris,"wrong person, sorry :/"
225665.tsv,2009-10-27T14:49:00.000Z,jrib,slowbuntu,"that's not really an ubuntu question..."
